Year,Month,Inflation
2020,1,0.2
2020,2,0.1
2020,3,0.2
2020,4,0.2
2020,5,0.2
2020,6,0.1
2020,7,0.1
2020,8,0.0
2020,9,0.0
2020,10,0.0
2020,11,-0.2
2020,12,-0.3
2021,1,0.2
2021,2,0.4
2021,3,0.5
2021,4,0.7
2021,5,0.6
2021,6,0.8
2021,7,0.5
2021,8,0.3
2021,9,0.4
2021,10,0.9
2021,11,0.9
2021,12,0.7
2022,1,0.6
2022,2,0.8
2022,3,1.1
2022,4,0.4
2022,5,0.9
2022,6,1.2
2022,7,0.0
2022,8,0.1
2022,9,0.4
2022,10,0.5
2022,11,0.3
2022,12,0.1
2023,1,0.5
2023,2,0.4
2023,3,0.1
2023,4,0.4
2023,5,0.1
2023,6,0.2
2023,7,0.2
2023,8,0.5
2023,9,0.4
2023,10,0.1
2023,11,0.2
2023,12,0.2
2024,1,0.3
2024,2,0.4
2024,3,0.4
2024,4,0.3
2024,5,0.0
2024,6,-0.1
2024,7,0.2
2024,8,0.2
2024,9,0.2
2024,10,0.2
